,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name
0,1396346,3122,30,3965,43,that's just like Jeffrey had,5,that just like Jeffrey have,pro:dem adj co n:prop v,BOB,Bobbi,Adult,,,,,declarative,,,,3,Eng-NA,7.0,eng,Gathercole
1,1396376,3140,31,3965,43,here you go Megan,4,here you go Megan,adv pro:per v n:prop,LLE,Lleana,Adult,,,,,declarative,,,,3,Eng-NA,4.0,eng,Gathercole
2,1570131,3350,79,4358,48,I got a phone xxx,5,I get a phone,pro:sub v det:art n,MA1,Bob,Adult,3276.0,50.493849976385604,,female,declarative,,,,3,Eng-NA,5.0,eng,HSLLD
3,1570155,3351,80,4358,48,,0,,,FE1,Mary_Housemate,Adult,3276.0,50.493849976385604,,female,declarative,,,,3,Eng-NA,,eng,HSLLD
4,1570161,3351,81,4358,48,and you remembered me saying that to you huh,9,and you remember me say that to you huh,coord pro:per v pro:obj part pro:rel prep pro:per co,FE1,Mary_Housemate,Adult,3276.0,50.493849976385604,,female,question,,,,3,Eng-NA,11.0,eng,HSLLD
5,1570201,3350,82,4358,48,well if they want it now anyway they gotta work with Bell phone,13,well if they want it now anyway they gotta work with Bell phone,co conj pro:sub v pro:per adv co pro:sub mod:aux v prep n:prop n,MA1,Bob,Adult,3276.0,50.493849976385604,,female,declarative,,,,3,Eng-NA,13.0,eng,HSLLD
6,1570388,3350,89,4358,48,but but xxx pay you two bucks an hour,9,but pay you two buck a hour,conj v pro:per det:num n det:art n,MA1,Bob,Adult,3276.0,50.493849976385604,,female,imperative_emphatic,,,,3,Eng-NA,8.0,eng,HSLLD
7,1570417,3352,90,4358,48,three bucks an hour,4,three buck a hour,det:num n det:art n,MA2,,Adult,3276.0,50.493849976385604,,female,question,,,,3,Eng-NA,5.0,eng,HSLLD
8,1572926,3350,198,4358,48,vicious kids,2,vicious kid,adj n,MA1,Bob,Adult,3276.0,50.493849976385604,,female,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
9,1572941,3351,199,4358,48,xxx,1,,,FE1,Mary_Housemate,Adult,3276.0,50.493849976385604,,female,declarative,,,,3,Eng-NA,,eng,HSLLD
10,1655608,3390,234,4641,48,already read it,3,already read it,adv v pro:per,MAL,,Adult,3276.0,50.42814020821779,,female,declarative,,,,3,Eng-NA,4.0,eng,HSLLD
11,1655623,3437,235,4641,48,already read it,3,already read it,adv v pro:per,FEM,,Adult,3276.0,50.42814020821779,,female,question,,,,3,Eng-NA,4.0,eng,HSLLD
12,1655857,3437,248,4641,48,yeah,1,yeah,co,FEM,,Adult,3276.0,50.42814020821779,,female,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
13,1655866,3390,249,4641,48,give a few,3,give a few,v det:art qn,MAL,,Adult,3276.0,50.42814020821779,,female,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
14,1785221,3437,51,5217,48,,0,,,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
15,1785230,3484,52,5217,48,ah well you know when Chi did it because she'll look at you,13,ah well you know when Chi do it because she look at you,co n pro:per v conj n:prop mod pro:per conj pro:sub v prep pro:per,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,15.0,eng,HSLLD
16,1785230,3484,52,5217,48,ah well you know when Chi did it because she'll look at you,13,ah well you know when Chi do it because she look at you,co n pro:per v conj n:prop mod pro:per conj pro:sub v prep pro:per,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,15.0,eng,HSLLD
17,1785272,3437,53,5217,48,she looks real xxx,4,she look real,pro:sub v adj,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,4.0,eng,HSLLD
18,1785272,3437,53,5217,48,she looks real xxx,4,she look real,pro:sub v adj,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,4.0,eng,HSLLD
19,1785293,3484,54,5217,48,xxx like xxx daughter there,5,like daughter there,co n adv,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
20,1785293,3484,54,5217,48,xxx like xxx daughter there,5,like daughter there,co n adv,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
21,1785312,3437,55,5217,48,she looks guilty,3,she look guilt,pro:sub v adj,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,6.0,eng,HSLLD
22,1785312,3437,55,5217,48,she looks guilty,3,she look guilt,pro:sub v adj,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,6.0,eng,HSLLD
23,1785325,3484,56,5217,48,we're like Chi,3,we like Chi,pro:sub prep meta,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,4.0,eng,HSLLD
24,1785602,3484,68,5217,48,what,1,what,pro:int,FE2,,Adult,,,,,question,,,,3,Eng-NA,1.0,eng,HSLLD
25,1785612,3437,69,5217,48,that's all that stuff going to the garbage man,9,that all that stuff go to the garbage man,pro:rel adv pro:dem n part prep det:art n n,FEM,,Adult,,,,,question,,,,3,Eng-NA,11.0,eng,HSLLD
26,1785664,3437,71,5217,48,good stuff,2,good stuff,adj n,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,2.0,eng,HSLLD
27,1785674,3484,72,5217,48,yeah,1,yeah,co,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
28,1785674,3484,72,5217,48,yeah,1,yeah,co,FE2,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
29,1785689,3390,73,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
30,1785834,3437,81,5217,48,messed up,2,mess up,part adv,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
31,1785846,3390,82,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
32,1785846,3390,82,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
33,1785860,3437,83,5217,48,messed up,2,mess up,part adv,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,3.0,eng,HSLLD
34,1785926,3484,86,5217,48,well,1,well,co,FE2,,Adult,,,,,self interruption,,,,3,Eng-NA,1.0,eng,HSLLD
35,1785932,3437,87,5217,48,okay Cou let's go boy,5,okay Cou let go boy,co n:prop v v n,FEM,,Adult,,,,,imperative_emphatic,,,,3,Eng-NA,6.0,eng,HSLLD
36,1786099,3352,94,5217,48,actually I xxx,3,actual I,adv pro:sub,MA2,,Adult,,,,,declarative,,,,3,Eng-NA,4.0,eng,HSLLD
37,1786116,3437,95,5217,48,Cou,1,Cou,n:prop,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
38,1786116,3437,95,5217,48,Cou,1,Cou,n:prop,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
39,1786132,3352,96,5217,48,oh well xxx,3,oh well,co co,MA2,,Adult,,,,,declarative,,,,3,Eng-NA,2.0,eng,HSLLD
40,1786132,3352,96,5217,48,oh well xxx,3,oh well,co co,MA2,,Adult,,,,,declarative,,,,3,Eng-NA,2.0,eng,HSLLD
41,1786149,3437,97,5217,48,Cou,1,Cou,n:prop,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
42,1786149,3437,97,5217,48,Cou,1,Cou,n:prop,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
43,1786159,3352,98,5217,48,xxx husband xxx,3,husband,n,MA2,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
44,1786159,3352,98,5217,48,xxx husband xxx,3,husband,n,MA2,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
45,1786181,3437,99,5217,48,xxx xxx husband,3,husband,n,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,1.0,eng,HSLLD
46,1786235,3390,102,5217,48,time I got the uh xxx,6,time I get the,n pro:sub v det:art,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,5.0,eng,HSLLD
47,1786263,3352,103,5217,48,do you have much insurance,5,do you have much insurance,mod pro:per v qn n,MA2,,Adult,,,,,question,,,,3,Eng-NA,5.0,eng,HSLLD
48,1787845,3390,175,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
49,1787858,3437,176,5217,48,ain't no what,3,be no what,aux co pro:int,FEM,,Adult,,,,,question,,,,3,Eng-NA,5.0,eng,HSLLD
50,1788169,3390,196,5217,48,this is my week,4,this be my week,pro:dem cop det:poss n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,5.0,eng,HSLLD
51,1788184,3437,197,5217,48,what,1,what,pro:int,FEM,,Adult,,,,,question,,,,3,Eng-NA,1.0,eng,HSLLD
52,1788190,3437,198,5217,48,why,1,why,adv:int,FEM,,Adult,,,,,question,,,,3,Eng-NA,1.0,eng,HSLLD
53,1788194,3390,199,5217,48,do you guys need any help getting xxx,8,do you guy need any help get,mod pro:per n v qn n part,MAL,,Adult,,,,,question,,,,3,Eng-NA,9.0,eng,HSLLD
54,1788215,3390,200,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
55,1788223,3437,201,5217,48,huh,1,huh,co,FEM,,Adult,,,,,question,,,,3,Eng-NA,1.0,eng,HSLLD
56,1788223,3437,201,5217,48,huh,1,huh,co,FEM,,Adult,,,,,question,,,,3,Eng-NA,1.0,eng,HSLLD
57,1788232,3390,202,5217,48,xxx all those old women trying to lose a little weight xxx,12,all those old woman try to lose a little weight,qn pro:dem adj n part inf v det:art adj n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,12.0,eng,HSLLD
58,1788269,3437,203,5217,48,tell Richard Simmons,3,tell Richard Simmons,v n:prop n:prop,FEM,,Adult,,,,,question,,,,3,Eng-NA,3.0,eng,HSLLD
59,1788286,3390,204,5217,48,Richard Simmons,2,Richard Simmons,n:prop n:prop,MAL,,Adult,,,,,question,,,,3,Eng-NA,2.0,eng,HSLLD
60,1788295,3390,205,5217,48,y'all have Richard Simmons classics,5,you all have Richard Simmons classic,pro:per adv v n:prop n:prop n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,7.0,eng,HSLLD
61,1788308,3437,206,5217,48,,0,,,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
62,1788319,3437,208,5217,48,,0,,,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
63,1788322,3390,209,5217,48,xxx one thing,3,one thing,det:num n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,2.0,eng,HSLLD
64,1788332,3390,210,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
65,1788340,3437,211,5217,48,fix what,2,fix what,v pro:int,FEM,,Adult,,,,,question,,,,3,Eng-NA,2.0,eng,HSLLD
66,1788340,3437,211,5217,48,fix what,2,fix what,v pro:int,FEM,,Adult,,,,,question,,,,3,Eng-NA,2.0,eng,HSLLD
67,1788352,3390,212,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
68,1788352,3390,212,5217,48,xxx,1,,,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
69,1788363,3437,213,5217,48,if that dog lives for ten years is he gonna bark in that darn train every day though the years,20,if that dog live for ten year be he gonna bark in that darn train every day though the year,conj pro:dem n v prep det:num n cop pro:sub mod:aux v adv pro:dem n n qn n adv det:art n,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,24.0,eng,HSLLD
70,1788363,3437,213,5217,48,if that dog lives for ten years is he gonna bark in that darn train every day though the years,20,if that dog live for ten year be he gonna bark in that darn train every day though the year,conj pro:dem n v prep det:num n cop pro:sub mod:aux v adv pro:dem n n qn n adv det:art n,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,24.0,eng,HSLLD
71,1788413,3390,214,5217,48,Mark and them is looking for a fire dog,9,Mark and them be look for a fire dog,n:prop coord pro:obj aux part prep det:art n n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,11.0,eng,HSLLD
72,1788413,3390,214,5217,48,Mark and them is looking for a fire dog,9,Mark and them be look for a fire dog,n:prop coord pro:obj aux part prep det:art n n,MAL,,Adult,,,,,declarative,,,,3,Eng-NA,11.0,eng,HSLLD
73,1788433,3437,215,5217,48,,0,,,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
74,1788433,3437,215,5217,48,,0,,,FEM,,Adult,,,,,declarative,,,,3,Eng-NA,,eng,HSLLD
